customer_id,full_name,customer_type,gender,birth_date,email,phone,city,kvkk_consent,marketing_consent,created_at,updated_at
C000016,Atlas Danışmanlık Ltd. Şti.,corporate,,,atlasdanismanlik@atlas.com.tr,+905392189950,İstanbul,True,False,2026-08-01T14:15:08,2026-11-06T14:15:08
C000017,Ebru Kurt,individual,F,1981-11-20,ebru.kurt63@outlook.com,+905421058599,İstanbul,True,False,2025-11-29T05:10:57,2026-06-10T05:10:57
C000018,Ali Özkan,individual,M,1980-05-16,ali.ozkan@yahoo.com,+905433093766,Kocaeli,True,False,2023-12-30T09:41:05,2024-07-03T09:41:05
C000019,Selin Turan,individual,F,1971-03-06,selin.turan@gmail.com,+905435779148,Gaziantep,True,False,2024-06-27T20:09:04,2024-08-15T20:09:04
C000020,Meridyen Yazılım A.Ş.,corporate,,,meridyenyazilim@meridyen.com.tr,05342730711,İzmir,True,True,2024-09-27T12:00:02,2025-03-10T12:00:02
C000021,Esra Keskin,individual,F,1985-07-30,esra.keskin12@hotmail.com,+905358478945,İstanbul,True,False,2024-04-02T03:14:31,2024-04-12T03:14:31
C000022,Umut Yıldırım,individual,M,1983-03-30,umut.yildirim84@outlook.com,+905373052628,İstanbul,True,True,2026-05-01T16:38:42,2026-06-19T16:38:42
C000023,Oğuz Keskin,individual,M,1996-12-06,oguz.keskin82@icloud.com,+905328534178,Denizli,True,False,2025-09-25T04:26:59,2026-03-12T04:26:59
C000024,İbrahim Özdemir,individual,M,1987-04-17,ibrahim.ozdemir@outlook.com,+905558503285,Ankara,True,False,2026-07-25T21:07:05,2026-10-25T21:07:05
C000025,Zirve Teknoloji A.Ş.,corporate,,,zirveteknoloji@zirve.com.tr,05364044131,İstanbul,True,True,2025-06-23T23:17:05,2025-09-04T23:17:05
C000026,İrem Yalçın,individual,F,1969-05-16,irem.yalcin90@gmail.com,+905469644436,İstanbul,True,False,2025-01-17T18:48:38,2025-07-05T18:48:38
C000027,Aslı Polat,individual,F,1974-01-02,asli.polat@yahoo.com,5572188925,Gaziantep,True,True,2024-04-10T10:20:05,2024-08-12T10:20:05
C000028,Ayşe Öztürk,individual,F,1996-04-19,ayse.ozturk@outlook.com,+905539969937,İzmir,False,True,2025-01-01T00:48:42,2025-06-09T00:48:42
C000029,Ufuk Tekstil Ltd. Şti.,corporate,,,ufuktekstil@ufuk.com.tr,+905461070682,İstanbul,True,True,2024-01-21T11:57:24,2024-05-14T11:57:24
C000030,Emre Şahin,individual,M,2002-11-18,emre.sahin92@hotmail.com,+905325393740,İstanbul,True,False,2025-10-30T00:29:18,2026-03-10T00:29:18
C000031,Halil Tekin,individual,M,1981-05-27,halil.tekin27@gmail.com,+905349651678,İstanbul,False,True,2024-08-09T10:34:34,2024-09-07T10:34:34
C000032,Mustafa Bulut,individual,M,1993-08-31,mustafa.bulut77@gmail.com,+905591044015,İstanbul,False,True,2025-08-15T04:45:40,2026-01-05T04:45:40
C000033,Ebru Sarı,individual,F,1967-01-05,ebru.sari68@hotmail.com,+905544881713,ankara,True,True,2025-10-31T12:12:11,2025-12-29T12:12:11
C000034,Hüseyin Ünal,individual,M,1999-08-19,huseyin.unal@icloud.com,+905538532068,İstanbul,True,False,2026-08-27T18:08:31,2026-08-31T18:08:31
C000035,Ege Tekstil Ltd. Şti.,corporate,,,egetekstil@ege.com.tr,0537 316 74 52,İstanbul,True,False,2025-08-30T06:13:06,2026-02-07T06:13:06
C000036,Ceren Uzun,individual,F,1985-10-31,ceren.uzun81@yahoo.com,+905583146975,Kocaeli,True,True,2025-06-25T21:10:17,2025-11-05T21:10:17
C000037,İbrahim Sarı,individual,M,1969-03-30,ibrahim.sari45@hotmail.com,+905505540778,İstanbul,True,False,2024-04-09T17:59:27,2024-04-26T17:59:27
C000038,Beyza Şimşek,individual,F,1987-03-08,beyza.simsek@yahoo.com,+905485583819,Muğla,True,True,2025-11-29T20:52:42,2025-12-09T20:52:42
C000039,Dilara Erdoğan,individual,F,1990-04-05,dilara.erdogan@yahoo.com,+905468056727,Ankara,True,False,2024-03-20T18:50:54,2024-06-17T18:50:54
C000040,Halil Yalçın,individual,M,1972-11-23,halil.yalcin@yahoo.com,+905345154925,Konya,True,True,2024-02-21T18:25:14,2024-06-01T18:25:14
C000041,Marmara Gıda A.Ş.,corporate,,,marmaragida@marmara.com.tr,+905428070222,İstanbul,True,True,2025-07-05T11:30:41,2025-11-04T11:30:41
C000042,Emre Çelik,individual,M,1996-02-08,emre.celik4@outlook.com,+905361857178,Ankara,True,False,2024-02-10T19:54:15,2024-06-03T19:54:15
C000043,Ayşe Karaca,individual,F,1987-09-09,ayse.karaca54@icloud.com,+905409655940,İzmir,True,False,2025-03-30T20:32:44,2025-07-10T20:32:44
C000044,Emre Karaca,individual,M,1992-10-12,emre.karaca@hotmail.com,+905312042710,Ankara,True,False,2024-08-11T00:13:02,2025-01-22T00:13:02
C000045,Ayşe Çelik,individual,F,1973-12-25,ayse.celik@gmail.com,+905547355482,İstanbul,True,True,2024-12-22T17:17:14,2025-06-11T17:17:14
C000046,Boğaziçi İnşaat A.Ş.,corporate,,,bogaziciinsaat@bogazici.com.tr,+905595046207,Konya,True,False,2023-11-24T19:29:07,2024-04-26T19:29:07
C000047,Halil Demir,individual,M,1984-05-11,halil.demir@outlook.com,+905512493161,İstanbul,True,False,2024-04-17T17:01:04,2024-10-25T17:01:04
C000048,Zeynep Keskin,individual,F,1968-06-27,zeynep.keskin33@hotmail.com,+905314904010,Antalya,True,True,2023-11-28T13:46:26,2024-01-28T13:46:26
C000049,Akdeniz Medya A.Ş.,corporate,,,akdenizmedya@akdeniz.com.tr,+905355411777,İstanbul,True,True,2024-03-17T22:24:36,2024-03-19T22:24:36
C000050,Tolga Aslan,individual,M,1985-12-12,tolga.aslan@icloud.com,+905317524544,Antalya,True,True,2025-07-04T12:43:44,2025-09-15T12:43:44
C000051,Hüseyin Tekin,individual,M,1961-09-05,huseyin.tekin@icloud.com,+905338652467,Ankara,True,True,2025-03-07T05:48:18,2025-08-23T05:48:18
C000052,Tolga Kara,individual,M,1983-07-03,tolga.kara1@yahoo.com,+905371223408,İstanbul,True,True,2024-09-06T16:59:36,2024-11-29T16:59:36
C000053,Zirve Turizm A.Ş.,corporate,,,zirveturizm@zirve.com.tr,+905456703927,Bursa,False,False,2024-08-03T10:38:27,2025-01-25T10:38:27
C000054,İbrahim Yıldırım,individual,M,1996-07-19,ibrahim.yildirim@gmail.com,+905335564047,Gaziantep,True,False,2023-11-22T03:36:50,2024-04-16T03:36:50
C000055,Eren Güneş,individual,M,1981-03-19,eren.gunes@outlook.com,0 (530) 211-4827,İstanbul,True,False,2025-11-12T17:25:54,2026-05-23T17:25:54
C000056,Onur Aksoy,individual,M,1978-07-19,onur.aksoy@yahoo.com,+905465863708,İstanbul,True,False,2024-05-01T18:56:37,2024-10-08T18:56:37
C000057,Nazlı Şahin,individual,F,1995-02-04,nazli.sahin@gmail.com,+905308789108,Antalya,True,False,2025-09-09T18:49:28,2025-11-24T18:49:28
C000058,Mehmet Taş,individual,M,1983-12-26,mehmet.tas@outlook.com,+905307836825,İzmir,True,False,2025-04-04T11:42:32,2025-06-23T11:42:32
C000059,Tuğba Yıldırım,individual,F,1955-02-25,tugba.yildirim@hotmail.com,0 (533) 347-3425,İstanbul,True,True,2024-07-25T01:03:52,2024-12-07T01:03:52
C000060,İbrahim Kılıç,individual,M,1961-12-18,ibrahim.kilic76@icloud.com,+905336173846,İstanbul,False,False,2024-11-21T06:55:25,2025-04-16T06:55:25
C000061,Serkan Aydın,individual,M,1985-06-09,serkan.aydin9@yahoo.com,+905303716314,İstanbul,True,True,2025-04-30T23:04:41,2025-07-29T23:04:41
C000062,Hasan Kurt,individual,M,1993-01-18,hasan.kurt@yahoo.com,+905463928084,İstanbul,True,True,2024-07-09T06:54:18,2025-01-21T06:54:18
C000063,Büşra Çelik,individual,F,1998-04-13,busra.celik18@yahoo.com,+905303549222,Gaziantep,True,False,2024-02-19T01:16:25,2024-06-15T01:16:25
C000064,Selim Ateş,individual,M,1989-03-31,selim.ates@gmail.com,+905535232482,Eskişehir,True,True,2024-06-20T02:34:09,2024-07-27T02:34:09
C000065,Mehmet Sarı,individual,M,1986-11-22,mehmet.sari@gmail.com,+905381369711,İstanbul,True,True,2023-10-11T05:05:14,2024-04-24T05:05:14
C000066,Zeynep Kara,individual,F,1995-07-28,zeynep.kara77@hotmail.com,+905369794275,Bursa,True,True,2025-01-05T12:14:09,2025-03-06T12:14:09
C000067,Yıldız Otomotiv Yan Sanayi Ltd. Şti.,corporate,,,yildizotomotivyansanayi@yildiz.com.tr,+905453473543,İstanbul,True,True,2024-01-01T12:53:13,2024-04-07T12:53:13
C000068,Derya Aslan,individual,F,1971-06-12,derya.aslan24@yahoo.com,+905367695496,Bursa,False,True,2024-08-31T16:30:10,2024-11-05T16:30:10
C000069,Cansu Şahin,individual,F,1977-09-19,cansu.sahin@hotmail.com,+905572694897,ISTANBUL,True,True,2024-01-31T04:43:12,2024-06-20T04:43:12
C000070,Cem Yılmaz,individual,M,2002-05-27,cem.yilmaz28@yahoo.com,+905432464691,İzmir,True,False,2026-03-23T14:04:06,2026-05-20T14:04:06
C000071,Burak Turan,individual,M,1964-10-16,burak.turan72@outlook.com,+905468192920,İstanbul,True,True,2026-02-07T14:18:42,2026-05-21T14:18:42
C000072,Yıldız Yazılım A.Ş.,corporate,,,yildizyazilim@yildiz.com.tr,+905411171307,İstanbul,True,False,2024-11-27T22:40:08,2025-05-15T22:40:08
C000073,Berk Ateş,individual,M,1969-05-03,berk.ates77@yahoo.com,+905312556495,Bursa,True,False,2024-02-06T05:28:37,2024-03-29T05:28:37
C000074,Hüseyin Kılıç,individual,M,1984-01-11,huseyin.kilic@outlook.com,0 (546) 248-8643,Samsun,True,True,2024-11-29T01:27:40,2025-04-02T01:27:40
C000075,İbrahim Şahin,individual,M,2002-10-30,ibrahim.sahin@icloud.com,+905558864995,İstanbul,True,False,2023-09-21T20:49:23,2023-10-28T20:49:23
C000076,Berk Sarı,individual,M,1971-06-28,berk.sari@gmail.com,+905429318039,Muğla,True,False,2024-02-12T20:44:31,2024-05-24T20:44:31
C000077,Naz Polat,individual,F,1980-05-18,naz.polat@gmail.com,+905409653945,İstanbul,True,True,2024-11-07T03:18:36,2025-05-09T03:18:36
C000078,Mehmet Karaca,individual,M,2002-03-01,mehmet.karaca@yahoo.com,+905451798949,İstanbul,True,False,2024-11-26T19:45:04,2025-04-23T19:45:04
C000079,Delta Danışmanlık Ltd. Şti.,corporate,,,deltadanismanlik@delta.com.tr,+905535525924,Gaziantep,True,False,2026-04-01T03:39:13,2026-04-20T03:39:13
C000080,Selin Şahin,individual,F,1964-02-13,selin.sahin87@icloud.com,+905486142588,İstanbul,True,False,2024-09-16T19:27:59,2025-01-10T19:27:59
C000081,Zeynep Doğan,individual,F,1983-09-02,zeynep.dogan39@gmail.com,+905501420873,İstanbul,False,True,2024-08-03T17:28:46,2024-10-09T17:28:46
C000082,Arda Çelik,individual,M,1991-07-20,arda.celik20@hotmail.com,+905445092320,Ankara,True,True,2023-11-03T09:48:33,2023-12-24T09:48:33
C000083,Cem Öztürk,individual,M,2002-10-14,cem.ozturk25@icloud.com,+905567954066,Antalya,False,False,2024-07-27T23:30:23,2025-01-23T23:30:23
C000084,Boğaziçi Sağlık A.Ş.,corporate,,,bogazicisaglik@bogazici.com.tr,+905464826452,İstanbul,True,False,2024-05-02T06:18:52,2024-05-21T06:18:52
C000085,Aslı Demir,individual,F,1987-12-04,asli.demir@icloud.com,+905523664295,Bursa,True,True,2026-03-22T00:21:25,2026-04-13T00:21:25
C000086,Mustafa Aksoy,individual,M,1961-04-16,mustafa.aksoy@icloud.com,+905372600487,İstanbul,True,True,2024-10-27T01:51:42,2025-04-14T01:51:42
C000087,Efe Yalçın,individual,M,1971-06-20,efe.yalcin86@outlook.com,5373997795,Ankara,True,False,2025-10-28T14:47:04,2025-12-15T14:47:04
C000088,Ömer Koç,individual,M,1963-08-06,omer.koc@hotmail.com,+905402185793,İstanbul,True,False,2025-04-03T13:00:07,2025-04-20T13:00:07
C000089,Eren Polat,individual,M,1996-07-17,eren.polat86@hotmail.com,+905349251634,İstanbul,True,False,2023-10-04T21:06:46,2023-10-18T21:06:46
C000090,Esra Taş,individual,F,2002-07-22,esra.tas@hotmail.com,+905448552901,Antalya,True,True,2024-10-11T17:44:15,2024-11-10T17:44:15
C000091,Eren Şimşek,individual,M,1959-12-30,eren.simsek@yahoo.com,+905369314048,ISTANBUL,True,False,2025-12-01T10:01:04,2026-04-30T10:01:04
C000092,Sude Çelik,individual,F,1974-01-14,sude.celik43@gmail.com,+905444536346,İzmir,True,True,2024-02-15T15:29:24,2024-05-07T15:29:24
C000093,Serkan Avcı,individual,M,1979-04-24,serkan.avci@icloud.com,+905351816258,İstanbul,True,True,2025-05-02T00:54:08,2025-09-14T00:54:08
C000094,Ali Çelik,individual,M,1977-08-02,ali.celik@icloud.com,+905409527819,İstanbul,True,False,2025-04-05T08:48:03,2025-06-22T08:48:03
C000095,İbrahim Keskin,individual,M,1982-08-19,ibrahim.keskin19@outlook.com,+905504673409,İstanbul,True,True,2025-08-09T21:31:01,2026-01-21T21:31:01
C000096,Hüseyin Çakır,individual,M,1979-12-11,huseyin.cakir79@gmail.com,+905588745672,Antalya,True,False,2024-04-05T09:41:43,2024-05-09T09:41:43
C000097,Boğaziçi Enerji A.Ş.,corporate,,,,+905579192941,İzmir,True,True,2024-01-21T12:32:59,2024-05-09T12:32:59
C000098,Gizem Arslan,individual,F,1984-05-01,gizem.arslan71@yahoo.com,+905437168848,İstanbul,True,True,2026-08-04T21:13:37,2026-12-22T21:13:37
C000099,Oğuz Sarı,individual,M,1976-03-01,oguz.sari84@outlook.com,+905436689821,Ankara,True,True,2025-04-19T17:39:46,2025-07-08T17:39:46
C000100,Arda Yalçın,individual,M,1997-02-10,arda.yalcin@gmail.com,+905446636047,Antalya,True,False,2023-12-26T03:17:31,2024-03-26T03:17:31
C000101,Eren Ateş,individual,M,1985-09-29,eren.ates@outlook.com,+905472509295,Gaziantep,True,True,2024-04-28T10:17:56,2024-07-27T10:17:56
C000102,Atlas İnşaat Ltd. Şti.,corporate,,,atlasinsaat@atlas.com.tr,+905334510562,İstanbul,False,True,2026-01-21T11:26:40,2026-07-29T11:26:40
C000103,Halil Aydın,individual,M,1968-11-20,halil.aydin92@outlook.com,+905373435689,Kocaeli,True,False,2024-01-30T23:15:46,2024-04-29T23:15:46
C000104,Ali Yıldırım,individual,M,1990-12-01,ali.yildirim@icloud.com,+905491011226,Bursa,False,True,2026-01-20T08:13:26,2026-08-06T08:13:26
C000105,Hüseyin Kurt,individual,M,1970-09-29,huseyin.kurt46@outlook.com,+905507867807,İstanbul,True,False,2024-10-09T09:33:09,2024-12-18T09:33:09
C000106,Aslı Aslan,individual,F,1967-05-01,asli.aslan79@outlook.com,+905346128777,Samsun,True,True,2024-06-20T13:08:57,2024-12-12T13:08:57
C000107,Boğaziçi Medya A.Ş.,corporate,,,bogazicimedya@bogazici.com.tr,+905438656421,İstanbul,True,False,2023-12-05T23:35:20,2024-05-07T23:35:20
C000108,Gamze Koç,individual,F,2002-10-02,gamze.koc@icloud.com,+905311834804,Kocaeli,True,False,2026-02-18T11:57:35,2026-06-15T11:57:35
C000109,Tolga Koç,individual,M,1965-10-15,tolga.koc41@gmail.com,+905497763416,İstanbul,True,True,2024-04-28T19:01:55,2024-07-04T19:01:55
C000110,Mustafa Güneş,individual,M,1973-11-11,mustafa.gunes97@outlook.com,+905574536263,İstanbul,True,False,2025-08-16T23:20:29,2026-02-23T23:20:29
C000111,Mehmet Yılmaz,individual,M,1986-02-28,mehmet.yilmaz@outlook.com,+905464455594,Ankara,True,True,2025-11-26T00:46:24,2026-05-10T00:46:24
C000112,Deniz Aydın,individual,M,1985-09-29,deniz.aydin@outlook.com,+905406051007,Kocaeli,True,True,2024-12-03T00:14:03,2024-12-29T00:14:03
C000113,Hasan Acar,individual,M,1977-07-08,hasan.acar1@icloud.com,+905536816616,Samsun,True,False,2024-04-21T05:32:54,2024-05-10T05:32:54
C000114,Beyza Güneş,individual,F,1962-07-30,beyza.gunes@icloud.com,+905501242847,İstanbul,True,True,2024-07-27T11:23:15,2024-09-07T11:23:15
C000115,Ayşe Öztürk,individual,F,1991-11-06,ayse.ozturk32@gmail.com,+905404080319,İstanbul,True,True,2025-03-29T12:29:18,2025-05-20T12:29:18
C000116,Cansu Özdemir,individual,F,1999-12-21,cansu.ozdemir@icloud.com,+905358671440,İstanbul,True,False,2024-01-06T04:00:39,2024-05-23T04:00:39
C000117,Anadolu Enerji A.Ş.,corporate,,,anadoluenerji@anadolu.com.tr,+905449537808,İstanbul,True,False,2025-03-30T12:14:42,2025-09-30T12:14:42
C000118,Efe Ateş,individual,M,2002-11-06,efe.ates79@hotmail.com,+905442152473,Ankara,True,True,2024-11-09T21:25:01,2025-05-24T21:25:01
C000119,Melis Aydın,individual,F,1989-12-04,melis.aydin79@gmail.com,+905549395015,Denizli,True,True,2025-07-25T15:57:53,2025-09-17T15:57:53
C000120,Murat Erdoğan,individual,M,1991-07-30,murat.erdogan96@gmail.com,+905451851757,İstanbul,True,False,2024-09-14T05:30:28,2025-03-26T05:30:28
C000121,Halil Çakır,individual,M,1985-08-23,halil.cakir@hotmail.com,+905471941354,Denizli,True,False,2024-03-18T12:35:57,2024-07-29T12:35:57
C000122,Eren Kara,individual,M,1983-06-02,eren.kara@gmail.com,+905321238791,Ankara,True,False,2023-10-14T03:57:31,2023-11-30T03:57:31
C000123,Kuzey Danışmanlık Ltd. Şti.,corporate,,,kuzeydanismanlik@kuzey.com.tr,+905568908871,İstanbul,True,False,2025-02-26T01:56:14,2025-03-09T01:56:14
C000124,Halil Aksoy,individual,M,1981-10-06,halil.aksoy@icloud.com,+905558663580,Mersin,True,False,2026-01-15T07:28:07,2026-02-21T07:28:07
C000125,Berk Özdemir,individual,M,1986-05-24,berk.ozdemir@hotmail.com,+905584329858,İstanbul,True,True,2026-08-11T11:10:50,2027-02-03T11:10:50
C000126,Nazlı Arslan,individual,F,1963-04-03,nazli.arslan93@hotmail.com,+905437211140,Ankara,True,False,2025-03-24T09:07:50,2025-04-15T09:07:50
C000127,Yıldız Lojistik A.Ş.,corporate,,,yildizlojistik@yildiz.com.tr,+905572928937,ankara,True,True,2024-10-18T03:31:41,2025-01-24T03:31:41
C000128,Hasan Korkmaz,individual,M,1979-09-10,hasan.korkmaz@yahoo.com,+905499916670,İstanbul,True,True,2025-05-31T06:38:59,2025-11-21T06:38:59
C000129,Zirve Medya A.Ş.,corporate,,,zirvemedya@zirve.com.tr,+905586946399,Muğla,True,True,2025-02-06T12:13:26,2025-02-14T12:13:26
C000130,Ufuk Yazılım Ltd. Şti.,corporate,,,ufukyazilim@ufuk.com.tr,+905333544053,Adana,True,True,2026-05-26T07:08:41,2026-06-06T07:08:41
C000131,Selim Kara,individual,M,1986-03-29,selim.kara44@outlook.com,+905398121479,Mersin,True,False,2024-07-13T22:15:06,2024-08-19T22:15:06
C000132,Hasan Yıldırım,individual,M,2000-11-22,hasan.yildirim@yahoo.com,5482142417,Konya,True,True,2026-08-04T15:09:56,2026-10-20T15:09:56
C000133,Furkan Demir,individual,M,2002-06-24,furkan.demir85@yahoo.com,+905354523561,İstanbul,True,True,2024-10-28T15:46:52,2025-02-18T15:46:52
C000134,Emre Kılıç,individual,M,1989-04-02,emre.kilic85@yahoo.com,+905542968337,Mersin,True,False,2024-04-14T04:00:16,2024-10-05T04:00:16
C000135,Kuzey Tekstil A.Ş.,corporate,,,kuzeytekstil@kuzey.com.tr,+905342756117,İstanbul,True,False,2026-08-06T01:10:20,2026-09-27T01:10:20
C000136,Oğuz Çetin,individual,M,1959-07-07,oguz.cetin@hotmail.com,+905402009638,Konya,True,True,2024-01-19T14:06:09,2024-02-06T14:06:09
C000137,Ahmet Kılıç,individual,M,1986-08-11,ahmet.kilic18@yahoo.com,+905502458845,İzmir,True,False,2024-03-10T13:44:47,2024-06-04T13:44:47
C000138,Sude Kurt,individual,F,1993-06-09,sude.kurt@gmail.com,+905584930006,Ankara,False,True,2025-02-27T10:14:17,2025-06-09T10:14:17
C000139,Zirve Tekstil A.Ş.,corporate,,,zirvetekstil@zirve.com.tr,+905516738480,İstanbul,True,False,2025-02-05T20:57:55,2025-02-08T20:57:55
C000140,Nur Keskin,individual,F,1978-07-27,nur.keskin@yahoo.com,+905425104506,Antalya,True,False,2026-05-17T07:32:20,2026-09-21T07:32:20
C000141,Eren Sarı,individual,M,1991-04-29,eren.sari37@outlook.com,+905451410728,Kocaeli,True,True,2024-10-10T01:11:33,2025-03-06T01:11:33
C000142,Anadolu İnşaat A.Ş.,corporate,,,anadoluinsaat@anadolu.com.tr,+905523021522,IZMIR,True,True,2024-01-04T01:17:19,2024-06-30T01:17:19
C000143,Cansu Koç,individual,F,1979-09-16,cansu.koc@hotmail.com,+905357373417,Antalya,True,True,2025-04-03T03:41:57,2025-09-07T03:41:57
C000144,Yasemin Koç,individual,F,1984-07-21,yasemin.koc@gmail.com,+90 532 480 5277,Bursa,True,False,2024-02-12T01:17:10,2024-05-18T01:17:10
C000145,Ali Uzun,individual,M,1990-09-09,ali.uzun36@yahoo.com,+905417471503,Ankara,True,True,2024-09-11T15:08:51,2024-10-29T15:08:51
C000146,Kuzey Yazılım A.Ş.,corporate,,,kuzeyyazilim@kuzey.com.tr,+905419107173,İstanbul,True,False,2026-03-31T08:09:37,2026-05-17T08:09:37
C000147,Selim Polat,individual,M,1997-07-21,selim.polat@yahoo.com,5458123062,Eskişehir,True,True,2025-07-04T04:29:19,2025-11-23T04:29:19
C000148,Arda Keskin,individual,M,1981-01-07,,+905337416332,Adana,True,False,2026-08-19T12:38:01,2026-10-03T12:38:01
C000149,Cem Tekin,individual,M,1974-11-29,cem.tekin40@hotmail.com,+905584886611,Izmir,True,True,2025-07-21T01:05:01,2025-09-27T01:05:01
C000150,Esra Demir,individual,F,1990-04-07,esra.demir@yahoo.com,+905502727290,Bursa,True,False,2024-11-15T18:00:25,2025-05-29T18:00:25
C000151,Anadolu Danışmanlık Ltd. Şti.,corporate,,,anadoludanismanlik@anadolu.com.tr,+905423117307,Kocaeli,True,False,2024-06-17T14:16:14,2024-10-07T14:16:14
C000152,Damla Sarı,individual,F,1986-10-07,damla.sari@hotmail.com,+905558569546,İstanbul,True,False,2025-11-17T05:46:36,2025-12-29T05:46:36
C000153,Kuzey Turizm A.Ş.,corporate,,,kuzeyturizm@kuzey.com.tr,+905547908577,Ankara,True,False,2025-11-07T09:20:02,2025-11-24T09:20:02
C000154,Zeynep Korkmaz,individual,F,1989-08-05,zeynep.korkmaz@icloud.com,05527213616,İzmir,False,True,2025-02-07T11:34:28,2025-06-17T11:34:28
C000155,Kerem Öztürk,individual,M,1984-08-18,kerem.ozturk41@outlook.com,+905352668377,İstanbul,True,True,2025-01-26T05:53:01,2025-03-05T05:53:01
C000156,Ceren Şimşek,individual,F,1986-03-28,ceren.simsek28@yahoo.com,+905454618429,Konya,True,False,2024-01-27T17:33:36,2024-06-01T17:33:36
C000157,Kerem Taş,individual,M,1975-08-22,kerem.tas39@outlook.com,+905378635425,Adana,True,True,2026-06-01T15:08:18,2026-11-19T15:08:18
C000158,Barış Aydın,individual,M,1984-03-02,baris.aydin@hotmail.com,+905519777077,Denizli,True,True,2023-12-26T21:45:14,2024-03-23T21:45:14
C000159,Onur Bozkurt,individual,M,1989-08-09,onur.bozkurt12@hotmail.com,+905455546251,Ankara,True,False,2025-09-06T14:01:15,2025-12-31T14:01:15
C000160,Arda Tekin,individual,M,1988-10-10,arda.tekin52@outlook.com,+905581071644,Kocaeli,True,False,2025-01-10T10:45:09,2025-06-03T10:45:09
C000161,Cem Ateş,individual,M,1970-10-27,,+905385649143,Gaziantep,True,False,2023-12-17T11:21:19,2024-05-22T11:21:19
C000162,Murat Özkan,individual,M,2001-10-14,murat.ozkan@hotmail.com,+905581220057,Kocaeli,True,False,2025-06-26T08:39:45,2025-08-29T08:39:45
C000163,Yıldız Sağlık A.Ş.,corporate,,,yildizsaglik@yildiz.com.tr,+905521278035,Gaziantep,True,False,2025-05-10T11:51:57,2025-10-30T11:51:57
C000164,Arda Polat,individual,M,1982-12-25,arda.polat54@yahoo.com,+905533211297,Antalya,True,True,2025-04-05T05:37:21,2025-06-12T05:37:21
C000165,Serkan Acar,individual,M,1981-01-29,serkan.acar13@hotmail.com,+905392813814,İzmir,True,False,2025-01-05T18:55:06,2025-01-16T18:55:06
C000166,Delta Otomotiv Yan Sanayi Ltd. Şti.,corporate,,,deltaotomotivyansanayi@delta.com.tr,+905509297076,Eskişehir,True,True,2024-09-18T10:08:31,2024-11-15T10:08:31
C000167,Zirve Yazılım A.Ş.,corporate,,,zirveyazilim@zirve.com.tr,+905321666519,Muğla,True,False,2024-04-20T16:17:23,2024-09-13T16:17:23
C000168,Hasan Yıldız,individual,M,1984-06-14,hasan.yildiz@outlook.com,+905437341141,Bursa,True,True,2024-11-28T12:34:54,2025-02-05T12:34:54
